Addr|Addr(不再使用)|Addr(Not Use)
CurrencyExRate|公司幣別匯率表|CurrencyExRate Table
CustAllLog|用戶操作日誌|Cust Operation Log
CustMark|客戶嘜頭資料|Cust Shipping Mark Data
CustMarkImg|客戶嘜頭圖片資料|Cust Shipping Mark Picture Data
CustMarkTImg|嘜頭模版圖片資料|Shipping Mark Template Picture Data
CustMarkTmpt|嘜頭模板資料|Shipping Mark Template Data
DesignXML|自訂流程設定XML檔案|Personal Setting Process XML
DesignXML2006|自訂義流程主檔|Personal Setting Process Mostly
DesignXMLUser|2006版menu桌面初始值|2006 Edition Menu Desktop Default
DirectorAudit|主管稽核檔案|Director Audit
ERPDocAttrib|ERP單據對應檔案|ERP Doc. Attrib
ERPDocRpt|送簽單據對應外部程式檔案|Send To Sign Doc. Correspond Out Program
ERPProgram|送簽單據對應外部程式檔案|Send To Sign Doc. Correspond Out Program
F1Help|F1Help(不再使用)|F1Help(Not Use)
F6Image|多媒體資料|Multimedia Data
FormStyle|自定義報表格式資料|User Defined Statement Format Data
HTRpfDoc|表頭/表尾文檔資料|Table Head/Table Tail File Data
HTRpfImg|表頭/表尾文檔圖片資料|Table Head/Table Tail File Picture Data
IPCtrl|IP 限制設定|IP Ctrl Set
ItemSpec|ItemSpec(不再使用)|ItemSpec(Not Use)
Letter|開發信word文件表|Letter Word File Table
Logtem04|產品描述拋轉記錄|Item Desc Migrated Record
Logtfm02|訂單產品拋轉記錄|Order Item Migrated Record
MRPTruncateLog|生管單據清檔歷史紀錄檔|PC Docs. Clear File History Record
MediaSet|多媒體資料數據(不再使用)|MultiMedia Data(Not Use)
MediaSetA|多媒體資料數據|MultiMedia Data
Menu2005OpRecord|用戶登陸時間記錄|Is Used Record User's Login Time
MessagePipe|BBCall消息設定|BBCall Message Set
Model|新版自定義模版檔|New User Defined Model
Name|名字(不再使用)|Name(Not Use)
PDF|報表生成文件PDF紀錄檔|Report Create PDF File Record
PageFormData|報表PageForm資料|Report PageForm Data
Remark|描述(不再使用)|Remark(Not Use)
ShpgMark|出貨嘜頭資料|Shipping Mark Data
ShpgMarkImg|出貨嘜頭圖片資料|Shipping Mark Picture Data
ShpgMarkMst|出貨嘜頭主檔|Shipping Mark Mostly
TextData|文字描述資料|Letter Description Data
Tg1p02Log|採購建議拋轉日誌|Purchase Proposal Migrated Log
Tg1p02tsm12|採購建議拋轉最後一次選項條件|The Last Time Purchase Proposal Migrated
XMLTemplate|自訂流程設定XML預設檔案|Personal Setting Process Set XML Default
autonotify|自動免簽操作紀錄檔|Auto Free Sgn Operate Record
bissm01|B.I.S 模板基本資料|B.I.S Template Basic Data
bissm02|B.I.S 用戶操作權限|B.I.S User Operate Privilege
bulletin|企業訊息|Project Message
ctbak|綜合單據設定自定義報表-紙張設定|Synthesis Paper SET User-defined Statement - Sheet Set
cttab|綜合單據設定自定義報表-頁面元件定義|Synthesis Paper SET User-defined Statement - Page Component Defined
custtab1|客戶自定義報表-紀錄報表程式名稱和相關的表名|Customer User Defined Statement-Program And Table
custtab2|客戶自定義報表-紀錄使用者權限的表|Customer User-defined Statement-User Right
datsm01|客戶系統設定|Customer System Set
datsm02|客戶系統設定|Customer System Set
datsm03|客戶系統設定|Customer System Set
datsm04|客戶系統設定|Customer System Set
datsm05|客戶系統設定|Customer System Set
datsm06|客戶系統設定|Customer System Set
datsm07|客戶系統設定|Customer System Set
datsm08|客戶系統設定|Customer System Set
datsm09|客戶系統設定|Customer System Set
datsm10|客戶系統設定|Customer System Set
datsm11|客戶系統設定|Customer System Set
dayadic|日曆事務用語資料|Calendar Affair Diction Info
dayaff|日曆事務資料|Calendar Affair Info
dayaptc|日曆事務參與者資料|Calendar Affair Actor Info
dayduty|日曆上班日程設定|Calendar Clock_In Calendar Set
daylcal|農曆資料|Agriculture Info
dsauthority|資料檢索用戶|Info Searches User Privilege
dsfieldinf|欄位名資料|Collumn_Na. Info
dsinquiry|檢索條件資料|Searches Condition Info
dstableinf|表名資料|Statement Name Info
eam01|簽核流程設定主檔|Sign Process Set Mostly
eam02|簽核流程設定-各關批核權限|Sign Process Set-Every Step Audit Privilege
eam03|簽核流程設定-各關批核人員|Sign Process Set-Every Step Audit Man
eam04|簽核流程設定-包含人員|Sign Process Set-Including Person
eam05|代理人設定|Deputy Set
ebm01|送簽申請主檔|Sign Apply Mostly
ebm02|送簽表單之附件檔|Sign Form Attachment
ebm03|送簽表單流程-各關批核權限|Sign Form Process-Every Step Audit Privilege
ebm04|送簽表單-各關批核人員|Sign From-Every Step Audit Man
ebm05|送簽表單-各關批核附件檔案|Sign From-Every Step Audit Attachment
esm01|送簽表單設定主檔|Sign From Set Mostly
esm02|送簽表單設定-報表/查詢程式|Sign From Set-Report/Query Program
esm03|送簽表單-報表/查詢程式 傳參數|Sign Form-Report/Query Program Arg.
esm04|送簽表單設定-自填附件|Sign From Set-Self Fill Attachment
esm05|代碼設定|Code Set
esm06|專家版 FLOW 表單設定主檔|Production Version FLOW From Set Mostly
esm07|專家版 FLOW 表單設定說明檔|Production Version FLOW From Set Explanation
esm08|專家版 FLOW 表單設定人員檔|Production Version FLOW From Set Personnel
esm09|覆核管理覆核人記錄檔|Checked Management Auditor Record
fam04|供應商匯款帳號|Supplier Remit Account
fam05|關帳月份|Closed Month
fam06|公司記帳幣別|Company Account Currency
fam07|科目大類系統碼設定|Acc CategorySys No. Set
fam09|會計類別設定|Bursar Type Set
fam10|會計科目設定|Bursar Acct Set
fam11|傳票性質設定|Subpena Properties Set
fam12|常用分錄表頭檔|Commonly Journal Table Head
fam13|常用分錄表身檔|Commonly Journal Table Body
fam14|常用分錄更多摘要說明|Commonly Journal More Summary
fam15|專案資料設定|Case Sett.tab Set
fam16|不同公司間會計科目對應|Between Differ Company Bursar Acct. Corresponding
fam17|客戶/廠商票據抬頭|Customer/Supplier Note Name
fbm01|傳票主檔|Subpena Mostly
fbm02|傳票明細檔|Subpena Statement
fbm04|會計科目統計檔|Bursar Acct. Statistical
fbm05|會計傳票更多摘要說明|Bursar Subpena More Summary
fbm06|傳票編號控制檔|Subpena NO. Control
fbm07|項目設定及調節類別檔|Item Set And Adjust Type
fbm08|活動項目會計科目設定檔|Campaign Item Bursar Acct. Set
fbm09|活動項目會計科目設定檔|Campaign Item Bursar Acct. Set
fcm01|調整分錄設定－主檔|Adjust Journal Setting-Mostly
fcm02|調整分錄設定－明細檔|Adjust Journal Setting-Statement
fcm03|調整分錄明細檔|Adjust Journal Statement
fem02|會計科目預算明細檔|Bursar Acct. Budget Statement
fem03|可用資金預算檔|Available Capital Budget
fgm01|部門費用分攤主檔|Department Expense Apportion Mostly
fgm02|部門費用分攤比例設定|Department Expense Apportion Percent Set
fgm03|費用分攤傳票主檔|Expense Apportion Subpena Mostly
fgm04|費用分攤傳票明細檔|Expense Apportion Subpena Statement
fgm05|部門人數設定|Department Person Setting
fim01|全國銀行資料|National Bank Data
fim02|往來銀行資料|Related Bank Data
fim03|票據傳票連線分錄主檔|Note Subpena Journal Mostly
fim04|票據傳票連線分錄明細檔|Note Subpena Journal Statement
fim05|往來銀行金額統計檔|Related Bank Amount Statistical
fix_ba26_log|客戶信用額度變化日誌|Customer Credit Limit Log
fjm01|票據基本資料檔|Note Basic Data
fjm02|票據歷史資料檔|Note History Data
fjm03|銀行存/提款異動主檔|Bank Deposit Accounts/drawing Change Mostly
fjm04|銀行存/提款異動明細檔|Bank Deposit Accounts/drawing Change Statement
fjm06|票據號碼範圍設定|Note .No Range Setting
fjm07|銀行調節作業主檔|Bank Adjust Operation Mostly
fjm08|銀行調節作業明細檔|Bank Adjust Operation Statement
fmm01|應付票據領取作業主檔|Payable Note Draw Operation Mostly
fmm02|應付票據領取作業明細|Payable Note Draw Operation Statement
fnm01|待切傳票主檔|Will Cut Voucher Mostly
fnm02|傳票明細檔|Subpena Statement
fnm03|會計連線科目主檔|Bursar Send Pipeline Acct. Mostly
fnm04|會計連線科目明細檔|Bursar Send Pipeline Acct. Statement
fnm05|加扣款會計科目設定|Plus/Dedu Bursar Acct. Set
fnm06|固定資產主檔|Fixed Assets Mostly
fnm07|固定資產修繕明細|Fixed Assets Remedy Deatil
fnm08|固定資產傳票分錄|Fixed Assets Subpena Journal
fnm09|固定資產折舊攤提明細|Fixed Assets Depreciation Active Service Deatil
fnm10|存貨科目明細分錄設定檔|Inventory Acct Detail Set
fnm11|財務連線:拋轉公司設定|Finance Inventory Migrated Company Set
fnm12|公司成本科目設定檔|Company Cost Acct Set
fnm13|薪資會計科目細項設定|Salary Bursar Acct Update List Set
fnm14|待切傳票依薪資項目彙總|Will Cut Subpena In Salary Item Sum
fnm15|財務連線產品分錄設定檔|Finance Connectivity Products Set Records
fnm16|異動單據待切傳票主檔|Change Order Will Cut Subpena Mostly
fnm17|異動單據待切傳票明細檔|Change Order Will Cut Subpena Statement
fnm18|異動單據會計連線科目主檔|Change Order Bursar Pipeline Acct. Mostly
fnm19|異動單據會計連線科目明細檔|Change Order Bursar Pipeline Acct. Statement
fnm20|異動單據產品科目明細檔|Change Order Item Acct. Statement
fnm21|用戶拋轉單據設定檔|User Migrated Paper Set
fom01|財務 ToExcel 主檔|Finance ToExcel Mostly
fom02|財務 ToExcel 明細檔|Finance ToExcel Statement
fpm01|固資異動單別設定|Assets Change PaperType Set
fpm02|資產項目檔|Assets Item
